Mes,Día,Ending Diario,Ending Especial / Secundario,Alternative Ending,Backup Fact of the Day
,30,"ON THIS DAY… on June 30, 2000, brothers Alan and Vincent Chow announced they successfully placed a silicon microchip beneath human retinas. The Artificial Silicon Retina (ASR) was designed to stimulate damaged retinal cells from within the retina to allow the cells to recreate visual signals that are processed and sent to the brain.The ASR is smaller than the head of a pin and only microns thin. These chips also contain solar cells to help power the chip. In what is called “Optobionics”, the chip is inserted behind the retina in the “subretinal space”. This is a 2-hour procedure and the chip can last up to 8 years after (depending on care).",,,
Julio,1,"ON THIS DAY… on July 1, 1984, the book Neuromancer by William Gibson was published. The cyberpunk novel would go on to win the Hugo, Nebula, and Philip K. Dick awards. The book is credited with popularizing the term cyberspace and laying out a blueprint for what the World Wide Web would become.",,,
,2,"ON THIS DAY… on July 2, 1953, IBM announced its 650 series of computers, the first mass-produced computer, and the dominant computer of the decade. The IBM 650 stored information on a rotating magnetic drum and received it on programmed punch cards. Its memory stored numbers with up to 10 decimal digits.",,,
,3,"ON THIS DAY… on July 3, 1886, Karl Benz drove his Patent Motor Wagen on Mannheim’s Ringstrasse, reaching a top speed of 16 km/h powered by a 0.75-hp one-cylinder four-stroke gasoline engine. It was the first public drive of what is considered the first purpose-built automobile.",,,
,4,"ON THIS DAY… on July 4, 1956, MIT’s Whirlwind, which had been completed five years earlier, becomes the first computer in the world to allow its users to enter commands through a keyboard. Previously, all input was accomplished through dials, switches, and/or punch cards.",,,
,5,"ON THIS DAY… on July 5, 1923, Kodak introduces the hand-cranked Cine-Kodak Model A, the first complete 16mm film system. 16mm film was developed to be an amateur alternative to 35mm film most often used by professionals. However, it found widespread use during World War II and later for television production, especially TV news. 16mm film is still in use today for certain applications.",,,
,6,"ON THIS DAY… on July 6, 1996, America Online settles lawsuits. Internet service provider America Online Inc. settles lawsuits filed in California that had accused the company of misleading subscribers about how it computes monthly service charges. As part of the settlement, customers received $22 million in free online time and cash rebates.",,,
,7,"ON THIS DAY... on July 7, 1936, Several US patents are issued for the Phillips-head screw and screwdriver to inventor Henry F. Phillips. Phillips founded the Phillips Screw Company to license his patents. One of the first customers was General Motors for its Cadillac assembly-lines. By 1940, 85% of U.S. screw manufacturers had a license for the design.",,,
,8,"ON THIS DAY… on July 8, 2007, developer Dan Kaminsky found a flaw in the addressing of the Domain Name System, or DNS. The issue was so severe, that they were not divulging the issue until a patch could be implemented on a wide scale. On March 31, 2008, Kaminsky – along with 16 other developers – gathered at Microsoft to work on a massive patch and synchronize the release so all details could be released as well. The Patch was released in July 8th, 2008.",,,
,9,"ON THIS DAY… on July 9, 1981, the game that launched two of the most famous characters in video game history is released for sale. Donkey Kong was created by Nintendo, a Japanese playing card and toy company turned fledgling video game developer, who was trying to create a hit game. Donkey Kong is named after the game’s villain, a pet gorilla gone rogue. The game’s hero is originally called Jumpman, but is retroactively renamed Mario once the game becomes popular and Nintendo decides to use the character in future games.",,,
,10,"ON THIS DAY… on July 10, 1962, the world’s first international communications satellite, Telstar I, is launched into orbit. A collaboration between the US, Britain, and France, Telstar I introduced the world to trans-Atlantic video feeds and ushered in a new era of communication. Initial enthusiasm for making phone calls via the satellite waned after users realized there was a half-second delay as a result of the 25,000-mile transmission path.",,,
,11,"ON THIS DAY… on July 11, 2008, Apple’s second phone, the iPhone 3G went on sale, featuring 3G data connectivity and GPS. In addition to other features (including push email and turn-by-turn navigation), its new operating system introduced the App Store—Apple's new distribution platform for third-party applications.",,,
,12,"ON THIS DAY… on July 12, 1990, Nintendo releases the original Final Fantasy video game for its Nintendo Entertainment System in North America. One of the most successful role-playing games for the NES, Final Fantasy helped to popularize the genre and has gone on to spawn one of the most well-known RPG franchises in history. Ironically, the game’s creator, Hironobu Sakaguchi, thought the game would be his last one, hence the “final” in Final Fantasy. Had the game not sold well, he would have quit making games and gone back to college.",,,
,13,"ON THIS DAY… on July 13, 2011, Netflix CEO Reed Hastings announced a bombshell that they were splitting Netflix streaming from DVD rentals. With that, the price would be doubled. This news caused their stock to fall, which continued when Hastings announced the DVD division was to be rebranded as Qwikster, and sold (which, of course, didn’t happen)",Día Mundial del Rock,,
,14,"ON THIS DAY… on July 14, 1965, NASA’s Mariner 4 becomes the first spacecraft to perform a successful fly-by of Mars and the first to send back photographs of another planet from deep space. The photographs are the first showing details of Mars’ surface including extensive cratering.",,,
,15,"ON THIS DAY… on July 15, 2006, Biz Stone, Jack Dorsey, Noah Glass and Evan Williams launch this 140 character “What are you doing” social network. The group first started production in March of 2006, but it launched on July 15th. Currently, over 200 million users are on Twitter.",,,
,16,"ON THIS DAY… on July 16, 1995, Amazon goes online. “Fluid Concepts & Creative Analogies: Computer Models of the Fundamental Mechanisms of Thought” was the first book Amazon sold. The company ran from their garage in Bellevue, Washington. 3 SPARC machines was all they had and a cool little mechanism that rang a bell every time a book was sold. The business model was set to make profit in 5 years. It was a good thing, because that may have helped it survive the dot com bubble.",,,
,17,"ON THIS DAY… on July 17, 1850, the first photograph of a star is taken at the Harvard Observatory. The star photographed was Vega in the Lyra constellation, the 2nd brightest star in the Northern Hemisphere.",Día Mundial del Emoji,,
,18,"ON THIS DAY… on July 18, 1968, Robert Noyce, Andy Grove and Gordon Moore incorporated Intel, a company they built on production of the microprocessor, the component that has allowed computers to increase in speed and decrease in size. And yes, Moore is that Moore of Moore's Law, which dictates that every 18 months microprocessors double in speed and decrease in size by half.",,,
,19,"ON THIS DAY… on July 19, 2000, Apple introduces the G4 “Cube” Power Macintosh. At the time of introduction, it was one of the smallest desktop computers ever produced. While not considered a commercial success, it did find a small, dedicated following and it was a foreshadowing of future Apple designs.",,,
,20,"ON THIS DAY… on July 20, 1969, the Apollo 11 Lunar Module EAGLE successfully lands in the area of the Moon known as the Sea of Tranquility. Upon landing, Neil Armstrong utters the now famous phrase, “The Eagle has landed.” About six hours later, while setting foot on the Moon, he utters the even more famous phrase, “That’s one small step for man. One giant leap for mankind.“",,,
,21,"ON THIS DAY… on July 21, 1999, Apple introduces the iBook laptop, the first mainstream computer designed and sold with built-in wireless networking.",Comic Con San Diego,,
,22,"ON THIS DAY… on July 22, 1980, representatives from an IBM facility in Boca Raton, Florida, where a small group of engineers were secretly developing the IBM PC, meet with Bill Gates and Steve Ballmer of Microsoft to discuss licensing software and an operating system for the still-developing PC. Not having an operating system to offer IBM, Microsoft will eventually buy the rights to QDOS/86-DOS from Seattle Computing Products. This alliance between IBM and Microsoft forms one of the most dominant platforms in the history of computing.",,,
,23,"ON THIS DAY… on July 23, 1903 the first Ford Model A was sold. Seventeen years after Gottlieb Daimler presented his invention, Ford Motor company sells its first twin cylinder combustion engine Model A to Dr. Ernst Pfenning of Chicago.",,,
,24,"ON THIS DAY… on July 24, 2013, Google introduced Chromecast – the HDMI-based set top box that was small enough to plug into the TV and not be seen. It could stream YouTube or Netflix (at the time), along with a feature that turned your Android or iOS device into the remote. The video would push to the TV while the mobile device could continue on searching, playing games, and more. Chromecast debuted at $35 with 3 free months of Netflix.",,,
,25,"ON THIS DAY… on July 25, 2005, the “Violent Video Games Bill” goes into law. The sale of Video Games began to really heat up in 2005 as Illinois Governor signs a bill into law restricting the sale of violent video games to minors. You could be fined up to $1,000 for selling games with adult ratings. Immediately, video game groups sued, claiming the law is a restriction on free speech.The law would be deemed unconstitutional and repealed.",,,
,26,"ON THIS DAY… on July 26, 2000, the Recording Industry Association of America was after Napster ever since the site came on-line. Judge Marilyn Hall Patel issued a preliminary injunction against Napster, ordering the company to cease operation by July 28th, alleging the promotion of illegally searching and downloading music and video. The US Circuit Court of Appeals would stay the injunction.",,,
,27,"ON THIS DAY… on July 27, 1993, Microsoft Windows NT 3.1 was released. NT 3.1 was the first release in the NT series. NT stood for “N-Ten,” the codename of the Intel i860 XR processor for which NT was initially developed. The NT kernel was different than the Windows 3.x version in that it implemented 32 bit programming.",,,
,28,"ON THIS DAY… on July 28, 1981, IBM introduced its System/23 Datamaster desktop computer, only two weeks before they introduce their IBM PC. Geared towards small business for use as a word and data processor, the computer was designed to be set up by end-users without the need of a computer specialist. While now a footnote in history, the importance of the Datamaster is that many of the team members that developed it were re-assigned to the secret IBM PC project and much of the knowledge they acquired went into developing the IBM PC as quickly as possible.",,,
,29,"ON THIS DAY… on July 29, 2009, Yahoo Search got sold to Microsoft. There was a big buyout bid fight between Microsoft and Yahoo back in 2008. The outcome was that Yahoo’s CEO Jerry Yang stepped down and Carol Bartz took the reigns. However, Carol did make a bold move in 2009 as she agreed to a deal with Steve Ballmer. Microsoft would get Yahoo Search engine technologies and create a search engine for Yahoo. In return, Yahoo would handle advertising for premium search advertisers. This was a ten year deal.",,,
,30,"ON THIS DAY… on July 30, 1979, Apple begins work on the Lisa, which would become the world’s first commercial computer with a graphical user interface. Originally intended to sell for $2,000 and ship in 1981, the Lisa is delayed until 1983 and sells for $10,000. Utilizing technology that was ahead of its time, the high cost, relative lack of software, and some hardware reliability issues ultimately sink the success of the Lisa. However, much of the technology introduced by the Lisa influenced the development of the Macintosh as well as other future computer and operating system designs.",,,
,31,"ON THIS DAY… on July 31, 1971, a man drove on the Moon for the first time. Using the battery-powered Lunar Roving Vehicle (LRV), Astronaut David Scott of the Apollo 15 mission becomes the first person to drive a vehicle on the Moon. The LRV was used during the last three missions to the Moon, Apollo 15, 16, and 17. The three LRVs used during the missions still remain on the surface of the moon.",,,
Agosto,1,"ON THIS DAY… on August 1, 1981, MTV (Music Television) launched. This changed the way we consumed music. A 10 minute long hello from the staff of MTV at 12:01 on August 1st, was followed by the first music video – Video Killed the Radio Star by The Buggles.",,,
,2,"ON THIS DAY… on August 2, 1902, computer pioneer Mina Rees was born. Before her death in 1997, Rees would leave her mark in the worlds of computers, mathematics, and education. She worked on early computers such as the Harvard Mark I. Throughout her career, she made many important contributions to the use of computers in solving applied mathematical problems and was known for her strong administrative skills and influence. In 1970, she became the first female president of the American Association for the Advancement of Science (AAAS).",,,
,3,"ON THIS DAY… on August 3, 1977, Radio Shack introduces their first computer, the TRS-80. With the support of 3500 Radio Shack stores plus a relatively low cost, the TRS-80 helped drive the acceptance of the personal computer in the home. Originally forecasting sales of just 3,000 to 5,000 per year, the TRS-80 sold over 10,000 units in the first month-and-a-half of sales and 200,000 over the lifetime of the product.",,,
,4,"ON THIS DAY… on August 4, 2007, NASA launches the Mars Phoenix lander. Phoenix would become the first spacecraft to land on the Martian arctic surface. Its mission was to dig for ice and assess if the Martian arctic ever had conditions that could have supported life.",,,
,5,"ON THIS DAY… on August 5, 2013, Jeff Bezos purchased the Washington Post for $250 million dollars. The deal was officially finalized on October 1, 2013 and was set to change the way we consume information.",,,
,6,"ON THIS DAY… on August 6, 1997, Steve Jobs announces that Apple and Microsoft have signed a five-year alliance. As part of the deal, MS committed to continuing development of MS Office for Mac over the next five years, Apple would make Internet Explorer the default web browser on the Mac, Apple and MS would collaborate on Java compatibility, and MS invested $150 million in Apple stock. However, the most important part of the arrangement is that both companies would cross-license all existing patents along with any new patents over the next five years, Apple would drop their long-running series of patent-infringement lawsuits against Microsoft, and Microsoft paid an undisclosed amount of money to Apple.",,,
,7,"ON THIS DAY… on August 7, 2000, Palm introduced the Palm Vx and Palm VIIx. The company, however, decided to retire the Palm III line and start Palm m100. They debuted the 16MHz model with Palm OS 3.5 and a 2″x2″ monochrome LCD display for $149.The Palm VIIx was $449 and the Vx was $399. Eventually, Palm was bought out by HP where it was used and discarded.",Día Internacional de la Cerveza,,
,8,"ON THIS DAY… on August 8, 1995, Netscape Communications goes public after generating revenues of $16.6 million in the previous 12 months. Shares jumped from $28 to $75 before closing at $58 the first day. Netscape was co-founded by Marc Andreessen who had earlier written the MOSAIC web browser while a student at the University of Illinois.",,,
,9,"ON THIS DAY… on August 9, 1991, Astronauts aboard the Space Shuttle Atlantis, mission STS-43, use an Apple Macintosh Portable computer to send what is considered the first e-mail from space using the AppleLink online service.",,,
,10,"ON THIS DAY… on August 10, 1966, the first lunar orbiter, creatively named Lunar Orbiter I, is launched. Its primary mission is to photograph potential landing sites for future Apollo missions.",,,
,11,"ON THIS DAY… on August 11, 2003, the Blaster worm, also known as MSBlast or Lovesan, begins to spread on the Internet, infecting Windows XP and Windows 2000 computers. The primary symptom of the worm was the crashing of the RPC service, which would trigger the computer to shut itself down and reboot. Microsoft estimated the number of machines infected between 8 and 16 million. Damage caused by the worm was estimated at $320 million.",,,
,12,"ON THIS DAY… on August 12,1981, IBM introduced the model 5150 personal computer. It had a 4.77 MHz Intel 8088 microprocessor, many “off-the-shelf” components and used Microsoft’s MS-DOS operating system.",,,
,13,"ON THIS DAY… on August 13, 1993, Capcom releases Street Fighter II Turbo: Hyper Fighting for the Super NES in the US. The Street Fighter II arcade game started the fighting game boom of the 1990’s, which spawned off other many other fighting game franchises such as Mortal Kombat and Virtua Fighter.",,,
,14,"ON THIS DAY… on August 14, 2006, Dell and Sony admit that flaws in Sony-manufactured batteries used in certain Dell laptops could result in the batteries overheating, catching fire, or exploding. They recall over 4.1 million batteries, the largest computer-related recall in history. This came after several widely publicized reports in the preceding months where Dell laptops did catch fire. Still to this day, Dell’s reputation has never fully recovered from the incident.",,,
,15,"ON THIS DAY… on August 15, 1998, the original iMac G3 goes on sale. The “Bondi Blue” iMac became well-known for its colorful case, which bucked the industry norm beige. However, it is also known for being the first commercially successful computer to eliminate the use of legacy ports and the floppy drive. Widely criticized at the time for not including the older technologies, by only featuring USB ports for peripheral connectivity, the iMac helped popularize the emerging standard, even on Windows PCs.",,,
,16,"ON THIS DAY… on August 16, 2010, Teams from Australia, Germany and Switzerland set off from Geneva in electric vehicles for what they hope will be the first carbon neutral race around the world. The race set up by Swiss inventor Louis Palmer is set to pass through 150 cities including Berlin, Moscow, Shanghai, Los Angeles and Cancun before returning to Geneva in January after 18,642 miles (30,000 km) on the road.",,,
,17,"ON THIS DAY… on August 17, 1982, “The Visitors” by ABBA becomes the world’s first commercial music compact disc (CD) manufactured, pressed in Langenhagen, Germany by Polygram Records, a subsidiary of Royal Phillips Electronics. Phillips and Sony co-developed the CD standard, which was designed to be the successor to the phonograph record. By the time the CD went on sale in November of that year, about 150 titles had been produced.",,,
,18,"ON THIS DAY… on August 18, 1947, Hewlett-Packard is incorporated by William Hewlett and David Packard, nine years after they sold their first products from their garage in Palo Alto. Hewlett and Packard got their start in 1938 by producing oscillators used to test audio equipment. Since selling eight of their first oscillators to Disney for use in preparing movie theaters for the movie Fantasia, HP has grown to one of the largest technology companies in the world.",,,
,19,"ON THIS DAY… on August 19, 2004, Google holds its Initial Public Offering (IPO) selling over 22 millions shares at a starting price of $85. Google shares closed that day at $100.34 and the IPO created many instant millionaires and a few billionaires.",,,
,20,"ON THIS DAY… on August 20,1911, the first commercial telegram is sent around the world as The New York Times sends a message to test how fast a commercial message could be sent. Reading simply, “This message sent around the world”, left at 7 PM, traveled over 28,000 miles and was relayed by 16 different operators. It arrived back at The Times only 16.5 minutes later. The building where the message originated is now called One Times Square and is best known for where the ball drops on New Year’s Eve.",,,
,21,"ON THIS DAY… on August 21, 2001, Internet2 (aka RNP2) was first connected. Using a 45 MBs line, Brazil became part of the Internet2, an internet connected to multiple academics. The connection went from Rio de Janeiro to Miami. Internet2 member rolls included over 200 higher education institutions, 40 members from industry, 30 research and education network and connector organizations and over 50 affiliate members.",,,
,22,"ON THIS DAY… on August 22, 1987, The Legend of Zelda is released for the NES in North America. Considered one of the most influential games of all time, it was the forerunner of the role-playing video game genre and spawned one of the most successful series in video games’ history.",Día del Internauta y del Hashtag,,
,23,"ON THIS DAY… on August 23, 1999, Pyra Labs launched Blogspot, a program that would let people run their own blogs. The program was bought by Google in 2003, and changed to Blogger in 2006.",,,
,24,"ON THIS DAY… on August 24, 2011, Steve Jobs resigns as Apple’s CEO, unable to continue due to failing health. He asks for his successor to be Tim Cook, then COO of Apple. The Board of Directors agree and announce the changing of CEO. The official resignation letter read: To the Apple Board of Directors and the Apple Community: I have always said if there ever came a day when I could no longer meet my duties and expectations as Apple’s CEO, I would be the first to let you know. Unfortunately, that day has come.",,,
,25,"ON THIS DAY… on August 25, 1991, Linus Torvalds posts a message to the Internet newsgroup comp.os.minix with the subject line “What would you like to see most in minix?” This is the first announcement that he is working on an operating system that will one day become Linux. Linus first wanted to name it “Freix”, which meant Freek Unix.",,,
,26,"ON THIS DAY… on August 26, 1938, a tape recorder was first used in a radio program by radio station WQXR in New York City. The tape recorder used was the Phillips-Miller recording system, also known as Millertape, invented by James Arthur Miller.",,,
,27,"ON THIS DAY… on August 27, 2003, the city of Fairbanks, Alaska connected to what was at the time the world’s largest battery backup. Designed to help prevent serious blackouts that plagued the city every two to three years, the batteries could provide power to the city for a few minutes – enough time to start up the city’s backup diesel generators. The battery contains 13,760 cells covering more than 10,000 square feet. It was reported that in the first two years of operation, the battery system prevented at least 81 power failures.",,,
,28,"ON THIS DAY… on August 28, 1991, the first E-mail was sent from space. Using a Mac Portable aboard the Space Shuttle Atlantis, the first e-mail from space is sent to Earth. Two astronauts on the spacecraft, James Adamson and Shannon Lucid, wrote, “Hello Earth! Greetings from the STS-43 Crew. This is the first AppleLink from space. Having a GREAT time, wish you were here,...send cryo and RCS! Hasta la vista, baby,...we'll be back!” The message was transmitted to the Johnson Space Center in Houston, Texas.",,,
,29,"ON THIS DAY… on August 29, 1997, Marc Randolph and Reed Hastings founded Kibble Inc. The service initially let you rent individual DVDs by mail without late fees. There was no subscription service and no streaming. And the service was later renamed Netflix.",,,
,30,"ON THIS DAY… on August 30, 1885, Gottlieb Daimler received a patent for adding an internal combustion engine to a bicycle to make the first gasoline-driven motorcycle.",,,
,31,"ON THIS DAY… on August 31, 1994, Adobe finalizes the merger with Aldus to try and create a new powerful desktop manager. Aldus brought to the table a desktop publishing program in “PageMaker”. The program was first created in 1985 and used the emerging Graphical User Interface in both Mac and PC environments. This also allowed Adobe to control the TIFF file format.",,,
Septiembre,1,"ON THIS DAY… on September 1, 1902, Georges Méliès’ film “Le Voyage dans la lune” (A Trip to the Moon) debuted in France. It is considered the first real science fiction film.",,,
,2,"ON THIS DAY… on September 2, 1993, the world’s first primitive web search engine is started. Known as W3Catalog or the CUI WWW Catalog, it was started by Oscar Nierstrasz at the Centre Universitaire d’Informatique (CUI) of the University of Geneva. This search site lasted for about 3 years before more modernized search engines began appearing.",,,
,3,"ON THIS DAY… on September 3, 1995, the online auction site eBay is launched as “AuctionWeb” by Pierre Omidyar. The first ever product he sold on Auction Web was a broken laser pointer which he couldn’t understand why anyone would buy it, so he contacted the buyer asking why he bought it, the buyer replied saying he was a collector of laser pointers. Pierre then realised that people were buying all sorts of items and the growth of the business escalated rapidly from there.",,,
,4,"ON THIS DAY… on September 4, 1998, Larry Page and Sergey Brin file incorporation papers for Google in California. Filing on a Friday, the date of official incorporation would be marked as Monday, September 7th. Starting out as a privately held company, Google would hold their IPO about 6 years later on August 19, 2004.",,,
,5,"ON THIS DAY… on September 5, 1977, NASA launched the Voyager 1 probe from Florida. It is currently the farthest man-made object in Space. This spacecraft weighs 722 kilogram and it is currently traveling towards the interstellar space and it will never come back to the Solar System. Around 2025 the spacecraft will run out of energy and will lose contact with the Earth.",,,
,6,"ON THIS DAY… on September 6, 2008, after 5 months of delays, the high resolution earth observation satellite, GeoEye-1, is launched from Vandenburg Air Force Base. Owned by the corporation GeoEye, Inc., GeoEye-1 is capable of taking high resolution images with detail down to 16 inches. However, the US Government has restricted that resolution for its own use. Commercial usage is limited to resolutions with detail down to 20 inches. As the exclusive licensee of the images for online mapping purposes, Google had its logo on the Delta II rocket that was used to launch GeoEye-1.",,,
,7,"ON THIS DAY… on September 7, 2005, Apple introduces the iPod Nano, effectively replacing the iPod Mini. The move surprised many in the industry, as the iPod Mini was extremely popular. However, the use of flash storage instead of a hard drive allowed for a much smaller form factor, increased reliability, and better battery life. These improvements proved extremely popular with consumers as one million units were sold in the first 17 days. The pioneering use of flash storage in a consumer electronic device paved the way for its use in many future Apple product designs, such as the iPhone, iPad, and flash storage-based MacBooks.",,,
,8,"ON THIS DAY… on September 8, 1966, the first episode of Star Trek airs. Star Trek, the science fiction television series, was created by Gene Roddenberry. Set in the 23rd century, the original Star Trek follows the adventures of the starship Enterprise and its crew, led by Captain James T. Kirk (played by William Shatner), his First Officer Mr. Spock (Leonard Nimoy), and his Chief Medical Officer Leonard McCoy (DeForest Kelley). Star Trek was not an immediate hit and was initially broadcast for only three seasons (a total of 79 episodes). Many of the technologies shown in the series, including the “Tricorder” and personal communicator, influenced a generation of technologists working in portable communications and computing. The last episode aired on September 2, 1969.",,,
,9,"ON THIS DAY… on September 9, 1947, the first instance of an actual computer bug was found. At 3:45pm, Grace Murray Hopper records 'the first computer bug' in the Harvard Mark II computer's log book. The problem was traced to a moth stuck between relay contacts in the computer, which Hopper duly taped into the Mark II's log book with the explanation: “First actual case of bug being found.”",,,
,10,"ON THIS DAY… on September 10, 1990, the first Internet search engine, Archie, is launched. Peter Deutsch posted to comp.archives about the Internet Archive Server that he, Alan Emtage, and Bill Heelan had put together. It was used to index FTP archives to make finding files easier. However, as the technology for the World Wide Web was not invented until later in the year, it was not the first web search engine.",,,
,11,"ON THIS DAY… on September 11, 1940, the first public demonstration of remote computation occurs during a meeting of the American Mathematical Society at Dartmouth College. Bell Laboratories researcher George Stibitz set up a terminal that allowed conference attendees to perform remote calculations over telephone lines with Bell Labs’ Complex Number Calculator in New York City. Stibitz had first tested the connection on September 9, an event memorialized by a plaque in front of McNutt Hall at Dartmouth College.",,,
,12,"ON THIS DAY… on September 12, 1985, Steve Jobs leaves Apple to start NeXT. After an interesting power struggle with John Sculley, Steve Jobs decides to throw in the towel and tenders his resignation at Apple. He announces at the Board meeting he and other low level employees will be starting a new company – NeXT. Jobs new company would end up becoming the foundation of Mac when it is bought by Apple in 1996 and Steve Jobs comes back to become CEO.",,,
,13,"ON THIS DAY… on September 13, 1985, Nintendo released Super Mario Brothers in Japan. It became the best selling video game for 20 years and a huge saga for the company until it was surpassed by Wii Sports. A videogame where you will now be surely beaten by your youngest relative.",Día del Programador y del Chocolate,,
,14,"ON THIS DAY… on September 14, 1959, the Soviet space probe Luna 2 crashes onto the surface of the Moon, becoming the first man-made object to reach the Moon, as well as the first man-made object to reach any celestial body.",,,
,15,"ON THIS DAY… on September 15, 2008, Best Buy purchased Napster. Napster forged the way with music downloads in the 1990’s but struggled after, trying to solidify their name since they went legit. Best Buy saw the opportunity and laid down $121 Million for the company. Best Buy owned the service until 2011 when Napster merged with Rhapsody. Best Buy still has a minor stake in the music sharing software.",,,
,16,"ON THIS DAY… on September 16, 1997, twelve years after resigning from Apple, Steve Jobs is named Interim CEO of Apple. Only seven months earlier, Jobs’ company NeXT was purchased by Apple and just two months earlier Gil Amelio resigned as Apple CEO. Much of the technology acquired with the purchase of NeXT was used to build the Mac OS X operating system, which became the core of the iOS operating system that runs the iPhone and iPad.",,,
,17,"ON THIS DAY… on September 17, 1991, the first version of the Linux kernel (0.01) was posted to a Finnish FTP server in Helsinki. Originator Linus Torvalds wanted to call the OS FreaX, but the FTP admin didn’t like the name and renamed it Linux.",,,
,18,"ON THIS DAY… on September 18, 1989, the operating system NeXTSTEP was released. It was actually based on the Unix operating system and was very similar in appearance, it also ran off the same C programming language. NeXTSTEP made writing C programming languages far easier than any of the other operating systems even better than the rival Unix even though the creator of Unix created C programming. The current Apple OS X operating system used today is based on NeXTSTEP as it was known as such a good system for its time and was often pointed to as a paragon of computer development even a decade later.",,,
,19,"ON THIS DAY… on September 19, 1989, about 100 hospitals that used software from Shared Medical Systems saw their computers go into a loop when the date was entered. The day was 32,768 days from January 1, 1900, which caused a system overflow.",Día de la Jerga Pirata,,
,20,"ON THIS DAY… on September 20, 1954, the first FORTRAN program is executed. FORTRAN was developed by IBM scientists who were looking for a better way to program the IBM 704 mainframe computer. It quickly became the dominant programming language for scientific and engineering applications and still is used today, especially in the area of high-performance computing.",,,
,21,"ON THIS DAY… on September 21, 2003, after fourteen years in space, eight of those as the first man-made object orbiting Jupiter, the unmanned NASA spacecraft Galileo is sent into the atmosphere of the giant planet. NASA decided to end Galileo’s mission in this manner in order to avoid any possibility of it colliding with one of Jupiter’s moons and potentially contaminating it with bacteria from Earth. How sanitary of them.",,,
,22,"ON THIS DAY… on September 22, 1986, the US District Court for the Northern District of California rules that computer code is protected under copyright law. The ruling stems from the case NEC Corp. v. Intel Corp, which was basically a battle over who had the right to produce x86 processors. The ruling, while finding that Intel had copyright protection for the code in their processors, also found that reverse-engineering code was also legal and therefore NEC did not violate Intel’s copyright in producing their own x86 processors. This ruling that code could be copyrighted changed the landscape, for better or worse, of software and computer development.",Comienza el Otoño (2021),,
,23,"ON THIS DAY… on September 23, 2008, Google and T-Mobile introduce the T-Mobile G1 (also known as the HTC Dream), the world’s first Android-based smartphone. By raw sales numbers, today Android is the world’s most popular smartphone platform.",,,
,24,"ON THIS DAY… on September 24, 1979, CompuServe launches the first consumer-oriented online information service, which they called MicroNET. This marked the first time a consumer had access to services such as e-mail. By the mid-1980’s CompuServe was the largest consumer information service in the world and half their revenue came from CIS. In 1989 CompuServe connected its proprietary e-mail system to the Internet e-mail system, making it one of the first commercial Internet services. However, CompuServe did not compete well with America On-Line or independent Internet Service Providers in the 1990’s and lost its dominant market position.",,,
,25,"ON THIS DAY… on September 25, 1973, Micro Computer Machines of Canada introduces what is possibly the earliest commercially manufactured device that can now be considered a personal computer, their MCM/70 microcomputer, at a programmer’s user conference in Toronto. The company worked closely with Intel on the design of their computer and made very early use of the Intel 8008 processor, of which the basic design was used for the future Intel 8086. However, failing to generate venture capital in the Canadian marketplace, the MCM/70 never gained significant market acceptance and by the time the Apple II and other early personal computers were being released, the MCM/70 was relegated to a footnote in history.",,,
,26,"ON THIS DAY… on September 26, 1914, the Federal Trade Commission (FTC) is formed to regulate business in the US. President Wilson issued this to “Trust bust”. The FTC is controlled by a 5 member panel that serve in 7 year terms. They govern all fair trade practices. Companies like Microsoft and IBM have been under the microscope with the FTC and the FCC.",,,
,27,"ON THIS DAY… on September 27, 1983, promising a “Free Unix”, Richard Stallman announces that he is going to write a complete Unix-compatible software system he calls GNU (which stands for Gnu’s Not Unix). This is a significant milestone in the history of open source and free software. Stallman would later found the Free Software Foundation. Last week, resigned from his positions at FSF and MIT over recent comments he made concerning Jeffrey Epstein’s victims.",23 aniversario de google,,
,28,"ON THIS DAY… on September 28, 2008, the British Secret Service admitted they have been looking for the next agents. They mention that they have been looking far and wide for spies. That is why they went to Facebook. MI6 placed 3 ads on Facebook to look for people seeking career change.. ability to shake a good martini is preferred.",,,
,29,"ON THIS DAY… on September 29, 1983, Microsoft releases their first software application, Microsoft Word 1.0. For use with MS-DOS compatible systems, Word was the first word processing software to make extensive use of a computer mouse. Not coincidentally, Microsoft had released a computer mouse for IBM-compatible PCs earlier in the year. A demo version was also included for free with a copy of PC World magazine, marking the first time a floppy disk was included with a magazine.",,,
,30,"ON THIS DAY… on September 30, 1980, Ethernet is drafted as Digital, Intel, and Xerox release version 1.0 of the Ethernet specification, known as the Blue Book. Since that time, Ethernet has evolved into the de facto networking standard for local area networks (LAN) in businesses and in the home.","Wake me Up, when September Ends",,
Octubre,1,"ON THIS DAY… on October 1, 1982, Sony started selling the first CD players to the public, the CDP-101 for 168,000 yen (that’s about $730 US). At the time you could get Billy Joel’s album 52nd street on CD– and soon many more.",Día Internacional del Café,,
,2,"ON THIS DAY… on October 2, 1955, the ENIAC was retired. Considered the world’s first fully electronic computer, it was retired after eleven years of continuous service.",,,
,3,"ON THIS DAY… on October 3, 1950, AT&T Bell Laboratories researchers John Bardeen, Walter Brattain, and William Shockley receive a US Patent for their invention of the transistor, which they had successfully demonstrated two years earlier. The transistor completely revolutionized the development of electronic and computerized technology.",,,
